type,source,target,sha256,byte_size,source_commit,provenance_status,import_rewrite_status,target_test_id
font,fonts/font.ttf,assets/lumin_graphics/fonts/font.ttf,6ed1553edccddc48eb27ff25d134a4a715cf54211238d4840b3038576cba1944,8227312,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-FONT-BYTES
font,fonts/icons.ttf,assets/lumin_graphics/fonts/icons.ttf,2018ce73aea383668a8ba3a38241aaf13811323636ea75a62138777071816fd4,1373900,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-FONT-BYTES
font,fonts/jura-light.ttf,assets/lumin_graphics/fonts/jura-light.ttf,c607f9ffb2435595f39cd55adc13269e93e0cee24b9dc6f1b17d1fded1d4e710,154312,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-FONT-BYTES
font,fonts/osakachips.ttf,assets/lumin_graphics/fonts/osakachips.ttf,c0a73019fb3c60089f75985ec6094fba5a639df87895a52a81d31ce08dbd5705,24832,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-FONT-BYTES
shader,shaders/blur_3d_box.fsh,assets/lumin_graphics/shaders/blur_3d_box.fsh,673f1c61ff22b7a8decc6ffdf20a8361ec4c9196f2bfe8ae7f4347f5f7ea8204,757,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-SHADER-BYTES
shader,shaders/blur_3d_box.vsh,assets/lumin_graphics/shaders/blur_3d_box.vsh,1dd0afc8ca88818ede33c9fe9083a832630e70e79503eda43475caa29ab41f73,232,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,rewrite-required-todo10,RES-MOJ-IMPORT-REWRITE
shader,shaders/blur.fsh,assets/lumin_graphics/shaders/blur.fsh,cb45156a949efb14fbdb0f90209e6f427017592bff4c544f7a18f991d56708df,2286,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-SHADER-BYTES
shader,shaders/blur.vsh,assets/lumin_graphics/shaders/blur.vsh,664b6114b103cfdca0be3b794a1c4224f1ba5fc31b3ae264d1e976992788ef63,278,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-SHADER-BYTES
shader,shaders/filter.fsh,assets/lumin_graphics/shaders/filter.fsh,cd83719d5570d2911fa54c0f96919d179e5c6e8cf2930ad7a48cd8eef5685520,390,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-SHADER-BYTES
shader,shaders/fxaa.fsh,assets/lumin_graphics/shaders/fxaa.fsh,682d2e37034114e2462fb793b4e8d0a850fcae18013a3900f8fd1a1766f27798,2253,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-SHADER-BYTES
shader,shaders/menu/alien_terrain.fsh,assets/lumin_graphics/shaders/menu/alien_terrain.fsh,ec3080e1a273fb07accde671d24db1336f48392c370421c56025338820c248fc,8418,181ece162e9f8618fe57281bb6ee29cc2c542579,source-repository; license-review-required,not-applicable,RES-SHADER-BYTES
